id,name,name_nepali,alternate_names,description,food_category,food_type,cuisine,region,district_or_city,ethnic_association,meal_type,diet_type,main_ingredients,spice_level,serving_style,is_traditional,is_festival_food,is_street_food,is_restaurant_food,image_url,image_source,image_license,image_verified,source_url,research_confidence,notes
11,Nepali Pulao,नेपाली पुलाउ,"Tehri, Pulao",Spiced rice dish cooked with vegetables or meat and whole spices.,Main Course,Rice Dish,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Vegetarian (meat optional),"Rice, whole spices, vegetables/meat, ghee",Mild-Medium,Plate,TRUE,TRUE,FALSE,TRUE,,,,FALSE,,High,
12,Tehri,तेह्री,Yellow Rice,"Turmeric-spiced fried rice with potatoes, a popular Terai/vegetarian festival dish.",Main Course,Rice Dish,Madhesi / Pan-Nepali,Terai,,Unknown / Mixed,Lunch,Vegan,"Rice, turmeric, potato, mustard oil",Mild-Medium,Plate,TRUE,TRUE,TRUE,TRUE,,,,FALSE,,High,
13,Kheer,खीर,Rice Pudding,"Sweet rice pudding cooked in milk with sugar and cardamom, common festival dessert.",Dessert,Sweet,Pan-Nepali,National,,Unknown / Mixed,Dessert,Vegetarian,"Rice, milk, sugar, cardamom",None,Bowl,TRUE,TRUE,FALSE,TRUE,,File:Kheer Khane Din .jpg | Wikimedia Commons — Category:Kheer / Food of Nepal,CC BY-SA 4.0,FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
14,Steamed Momo,मम:,Momo,"Steamed dumplings filled with minced meat or vegetables, Nepal's most iconic snack.",Snack,Dumpling,Newari (adapted Pan-Nepali),National,Kathmandu Valley (origin association),Newar (popularized),Snack/Lunch/Dinner,Vegetarian/Non-Veg variants,"Flour dough, minced meat or vegetables, onion, spices",Mild-Medium,Plate with achar/tomato chutney,TRUE,FALSE,TRUE,TRUE,,"File:Momo, Nepal.JPG | Wikimedia Commons — Category:Momos in Nepal",CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
15,Fried Momo,फ्राइड मम:,,"Steamed momo that is pan-fried or deep-fried after steaming, crispy exterior.",Snack,Dumpling,Pan-Nepali,National,,Unknown / Mixed,Snack,Vegetarian/Non-Veg variants,"Momo, oil",Mild-Medium,Plate with achar,TRUE,FALSE,TRUE,TRUE,,File:Fried Momo.jpg | Wikimedia Commons — Category:Momos in Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified.
16,Jhol Momo,झोल मम:,Soup Momo,"Momo served in a spicy, tangy sesame-tomato soup/broth.",Snack,Dumpling,Kathmandu street food,Kathmandu Valley,Kathmandu,Unknown / Mixed,Snack/Lunch,Vegetarian/Non-Veg variants,"Momo, tomato, sesame, timur, spices broth",Medium-Hot,Bowl with broth,TRUE,FALSE,TRUE,TRUE,,File:Jhol Momo.jpg | Wikimedia Commons — Category:Momos in Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified.
17,Kothey Momo,कोठे मम:,Pan-fried Momo,"Half-steamed, half-fried momo with a crisp base, cooked with a little water and oil in a pan.",Snack,Dumpling,Kathmandu street food,Kathmandu Valley,Kathmandu,Newar (associated),Snack,Vegetarian/Non-Veg variants,"Momo, oil, water",Mild-Medium,Plate with achar,TRUE,FALSE,TRUE,TRUE,,File:Kothey momo.JPG | Wikimedia Commons — Category:Momos in Nepal,CC BY-SA 3.0,FALSE,,High,Filename confirmed via Commons search; not live URL-verified.
18,C-Momo,सि-मम:,Chilli Momo,Fried momo tossed in a spicy Indo-Chinese style chilli-garlic sauce.,Snack,Dumpling,Modern Nepali fusion,National,Kathmandu (popularized),Unknown / Mixed,Snack,Vegetarian/Non-Veg variants,"Momo, chilli sauce, garlic, capsicum, onion",Hot,"Plate, tossed in sauce",FALSE,FALSE,TRUE,TRUE,,File:Fry C Momo.jpg | Wikimedia Commons — Category:Momos in Nepal,CC BY-SA (see file page),FALSE,,High,Modern restaurant/street food Filename confirmed via Commons search; not live URL-verified.
19,Chicken Momo,चिकेन मम:,,Momo filled with minced chicken.,Snack,Dumpling,Pan-Nepali,National,,Unknown / Mixed,Snack/Lunch,Non-Vegetarian,"Chicken mince, flour, onion, spices",Mild-Medium,Plate with achar,TRUE,FALSE,TRUE,TRUE,,File:Chicken Momo 1.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
20,Buff Momo,बफ मम:,Buffalo Momo,"Momo filled with minced buffalo meat, the most common non-veg momo in Nepal.",Snack,Dumpling,Pan-Nepali,National,,Unknown / Mixed,Snack/Lunch,Non-Vegetarian,"Buffalo mince, flour, onion, spices",Mild-Medium,Plate with achar,TRUE,FALSE,TRUE,TRUE,,File:Buff Momo.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
21,Veg Momo,भेज मम:,Vegetable Momo,Momo filled with finely chopped mixed vegetables and paneer/cabbage.,Snack,Dumpling,Pan-Nepali,National,,Unknown / Mixed,Snack/Lunch,Vegetarian,"Cabbage, carrot, paneer, flour",Mild-Medium,Plate with achar,TRUE,FALSE,TRUE,TRUE,,File:Veg Momo 1.jpg | Wikimedia Commons — Category:Momos in Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified.
22,Pork Momo,पोर्क मम:,,"Momo filled with minced pork, common among Rai/Limbu/Tamang communities and in Kathmandu eateries.",Snack,Dumpling,Kirat / Tamang associated,National,,Rai / Limbu / Tamang (common among),Snack/Lunch,Non-Vegetarian,"Pork mince, flour, onion, spices",Mild-Medium,Plate with achar,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,
23,Open Momo,ओपन मम:,,"Momo served open-faced, topped with sauces, cheese, or chutney, a modern presentation.",Snack,Dumpling,Modern Nepali fusion,National,Kathmandu (popularized),Unknown / Mixed,Snack,Vegetarian/Non-Veg variants,"Momo, sauce, cheese/toppings",Mild-Hot,"Plate, open-topped",FALSE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,Modern street food trend
24,Yomari,यःमरी,,"Steamed rice-flour dumpling shaped like a fig, filled with molasses (chaku) and sesame or khuwa, made during Yomari Punhi.",Dessert,Sweet Dumpling,Newari,Kathmandu Valley,Bhaktapur,Newar,Dessert/Festival,Vegetarian,"Rice flour, molasses (chaku), sesame",None,"Steamed, plated",TRUE,TRUE,FALSE,TRUE,,File:Yomari 1.jpg | Wikimedia Commons — Category:Yomari,CC BY-SA 4.0,FALSE,,High,Central to the Yomari Punhi festival Filename confirmed via Commons search; not live URL-verified (see resolver script).
25,Chatamari,चतामरी,Newari Pizza,"A thin rice-flour crepe topped with minced meat, egg, or vegetables, sometimes called 'Newari pizza'.",Snack,Rice Crepe,Newari,Kathmandu Valley,,Newar,Snack/Lunch,Vegetarian/Non-Veg variants,"Rice flour batter, meat/egg/vegetable toppings",Mild,Flat plate,TRUE,FALSE,TRUE,TRUE,,File:Meat Chatamari.jpg | Wikimedia Commons — search result,CC BY-SA 4.0,FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
26,Bara,बरा,"Woh, Wo","Deep-fried lentil (black gram) patty, often topped with egg or minced meat.",Snack,Lentil Patty,Newari,Kathmandu Valley,,Newar,Snack/Lunch,Vegetarian/Non-Veg variants,"Black gram (urad dal), egg/meat optional",Mild-Medium,Plate,TRUE,TRUE,TRUE,TRUE,,File:Bara Np.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
27,Samay Baji,समय बजी,,"A ceremonial Newari platter of beaten rice, choila, egg, black soybean, ginger, and other side items.",Main Course,Meal Set,Newari,Kathmandu Valley,,Newar,Any/Festival,Non-Vegetarian (veg version exists),"Beaten rice, choila, boiled egg, black soybean, ginger, achar",Medium-Hot,"Platter, multiple small servings",TRUE,TRUE,FALSE,TRUE,,,,FALSE,,High,"Served at rituals, feasts, and Newari restaurants"
28,Buff Choila,भ्यागुते छोइला,Buffalo Choila,"Grilled/smoked spiced buffalo meat marinated with mustard oil and spices, a Newari specialty.",Main Course,Grilled/Marinated Meat,Newari,Kathmandu Valley,,Newar,Lunch/Dinner/Snack,Non-Vegetarian,"Buffalo meat, mustard oil, timur, chilli, spices",Hot,"Plate, room temperature",TRUE,FALSE,TRUE,TRUE,,File:Choila.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
29,Chicken Choila,कुखुराको छोइला,,Grilled spiced chicken version of choila.,Main Course,Grilled/Marinated Meat,Newari (adapted),National,,Newar (origin),Lunch/Dinner/Snack,Non-Vegetarian,"Chicken, mustard oil, timur, chilli, spices",Hot,Plate,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,
30,Has Ko Choila,हाँसको छोइला,Duck Choila,"Choila made with duck meat, a traditional Newari variant.",Main Course,Grilled/Marinated Meat,Newari,Kathmandu Valley,,Newar,Lunch/Dinner,Non-Vegetarian,"Duck meat, mustard oil, timur, spices",Hot,Plate,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
31,Kachila,कचिला,,"Minced raw or lightly seared spiced buffalo meat dish, a Newari delicacy.",Main Course,Meat Dish,Newari,Kathmandu Valley,,Newar,Snack/Lunch,Non-Vegetarian,"Minced buffalo meat, mustard oil, ginger, spices",Medium-Hot,Small plate,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
32,Sapu Mhicha,सःपू म्ह्याचा,,A Newari dish of minced meat wrapped and steamed in buffalo lung/membrane lining.,Main Course,Steamed Meat,Newari,Kathmandu Valley,,Newar,Snack/Feast,Non-Vegetarian,"Minced buffalo meat, buffalo lung casing, spices",Medium,"Steamed, sliced",TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Medium,Ceremonial/feast dish
33,Sanyakhuna,स्याः क्वः,,"A soup made from trotters/feet, spine bones and beaten rice, traditionally eaten postpartum.",Soup,Bone Soup,Newari,Kathmandu Valley,,Newar,Any,Non-Vegetarian,"Buffalo trotters/bones, beaten rice, spices",Mild,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
34,Taas,तास,,"Fried slices of marinated meat, usually buffalo, served as a side or snack.",Snack,Fried Meat,Newari,Kathmandu Valley,,Newar,Snack,Non-Vegetarian,"Buffalo meat, spices, oil",Medium,Plate,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,
35,Pukala,पुकला,,"Deep-fried buffalo meat pieces, a Newari feast dish.",Main Course,Fried Meat,Newari,Kathmandu Valley,,Newar,Feast,Non-Vegetarian,"Buffalo meat, oil, spices",Medium,Plate,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Medium,
36,Chhoyala,छ्वयला,Chhwela,"Grilled and spiced meat dish similar to choila, sometimes used interchangeably by name variation.",Main Course,Grilled Meat,Newari,Kathmandu Valley,,Newar,Lunch/Dinner,Non-Vegetarian,"Buffalo/goat meat, mustard oil, spices",Hot,Plate,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,Regional spelling variant of Choila
37,Bhuti,भुटी,Black Soybean (cooked),"Boiled and lightly spiced black soybeans, a common side in Newari platters.",Side Dish,Legume Dish,Newari,Kathmandu Valley,,Newar,Side,Vegan,"Black soybeans, salt, spices",Mild,Small bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,Common component of Samay Baji
38,Aila,ऐला,,"Traditional Newari distilled alcohol, often rice or millet based.",Beverage,Alcohol,Newari,Kathmandu Valley,,Newar,Any/Ritual,Vegan,"Fermented grain, distilled",N/A,Small cup/shot,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Medium,Used in rituals and feasts
39,Thwon,थ्वं,Newari Rice Beer,Traditional fermented Newari rice beer.,Beverage,Fermented Alcohol,Newari,Kathmandu Valley,,Newar,Any/Ritual,Vegan,Fermented rice,N/A,Cup,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Medium,
40,Juju Dhau,जुजु धौ,"King Curd, King Yogurt","Rich, sweet set yogurt traditionally made in clay pots, famous from Bhaktapur.",Dessert,Dairy,Newari,Kathmandu Valley,Bhaktapur,Newar,Dessert/Snack,Vegetarian,"Buffalo milk, sugar, yogurt culture",None,Clay pot,TRUE,TRUE,TRUE,TRUE,,File:Juju Dhau.jpg | Wikimedia Commons,CC BY-SA (see file page),FALSE,,High,Bhaktapur is especially famous for this Filename confirmed via Commons search; not live URL-verified (see resolver script).
41,Lakhamari,लाखामरी,,"A crisp, deep-fried sweet bread shaped decoratively, made from refined flour and sugar syrup, a Newari wedding/festival sweet.",Dessert,Sweet Bread,Newari,Kathmandu Valley,Bhaktapur,Newar,Dessert/Festival,Vegetarian,"Refined flour, ghee, sugar syrup",None,Plate,TRUE,TRUE,FALSE,TRUE,,,,FALSE,,High,
42,Mari,मरि,Newari Sweet Bread,"A round sweet bread similar to a small cake, used in Newari feasts.",Dessert,Sweet Bread,Newari,Kathmandu Valley,,Newar,Dessert/Festival,Vegetarian,"Flour, sugar, ghee",None,Plate,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Low,
43,Wachipa,वाचिपा,,A fermented millet-based alcoholic beverage associated with hill/Kirat and Newari communities in different forms.,Beverage,Fermented Alcohol,Kirat / Newari,Hill Region,,Rai / Limbu / Newar,Any/Ritual,Vegan,Fermented millet,N/A,Cup,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Low,Regional variation in naming and preparation exists
44,Palu,पलु,,Newari-style boiled and seasoned beans/legume dish served as part of feast platters.,Side Dish,Legume Dish,Newari,Kathmandu Valley,,Newar,Side/Feast,Vegan,"Legumes, spices",Mild,Small bowl,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Low,
45,Ail Achar,अइल अचार,Garlic Achar,A pungent garlic-based pickle used in Newari cuisine.,Pickle/Achar,Achar,Newari,Kathmandu Valley,,Newar,Side,Vegan,"Garlic, mustard oil, spices",Hot,Small bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Low,
46,Kwati,क्वाति,Nine Bean Soup,"A soup made from nine kinds of sprouted mixed beans, traditionally eaten during Gunla/Kwati Punhi festival.",Soup,Legume Soup,Newari (Pan-Nepali festival food),Kathmandu Valley,,"Newar (festival origin), eaten nationwide",Festival meal,Vegan,"Nine mixed sprouted beans, spices",Mild-Medium,Bowl,TRUE,TRUE,FALSE,TRUE,,File:Mixed bean kwati.jpg | Wikimedia Commons,CC BY-SA (see file page),FALSE,,High,Associated with Gunla month/monsoon season Filename confirmed via Commons search; not live URL-verified (see resolver script).
47,Pancha Kwa,पञ्च क्वः,Five Curry,A traditional Newari mixed meat curry using five different cuts/parts.,Main Course,Meat Curry,Newari,Kathmandu Valley,,Newar,Feast,Non-Vegetarian,"Buffalo meat (various cuts), spices",Medium,Bowl,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Low,Served at feasts (bhoj)
48,Swanpuka,स्वाँपुका,Stuffed Lung,"Buffalo lung stuffed with a rice-flour and spice mixture, boiled and sliced.",Main Course,Stuffed Meat,Newari,Kathmandu Valley,,Newar,Feast,Non-Vegetarian,"Buffalo lung, rice flour, spices",Medium,"Sliced, plated",TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Low,
49,Chhwela,छ्वेला,,"Alternate name/preparation of grilled spiced meat, similar to choila.",Main Course,Grilled Meat,Newari,Kathmandu Valley,,Newar,Lunch/Dinner,Non-Vegetarian,"Meat, mustard oil, spices",Hot,Plate,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Low,Naming overlaps with Choila regionally
50,Thakali Khana Set,थकाली खाना सेट,"Thakali Set, Thakali Thali","A well-known thali featuring rice, dal, meat/vegetable curry, gundruk, and pickles, associated with the Thakali community.",Main Course,Meal Set,Thakali,Gandaki,Mustang,Thakali,Lunch/Dinner,Vegetarian/Non-Veg variants,"Rice, dal, meat/veg curry, gundruk, achar",Mild-Medium,Thali platter,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,Popularized nationwide via Thakali restaurants
51,Thakali Aloo Achar,थकाली आलु अचार,,"A tangy, mustard-oil based potato pickle/side dish characteristic of Thakali cuisine.",Side Dish,Achar,Thakali,Gandaki,Mustang,Thakali,Side,Vegan,"Potato, mustard oil, timur, chilli",Medium-Hot,Small bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
52,Marsi Rice,मार्सी चामल,Marshi Rice,"A prized local red/white rice variety grown in the Thakali/Mustang region, served as part of Thakali sets.",Main Course,Rice,Thakali,Gandaki,Mustang,Thakali,Lunch/Dinner,Vegan,Local mountain rice variety,None,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
53,Thakali Karkalo,थकाली करकलो,Taro Leaf Curry (Thakali style),"Curry made from taro (colocasia) leaves, a Thakali/hill vegetable side.",Side Dish,Vegetable Curry,Thakali,Gandaki,Mustang,Thakali,Side,Vegan,"Taro leaves, mustard oil, spices",Mild-Medium,Small bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
54,Thukpa,थुक्पा,,"A hearty noodle soup with vegetables and meat, of Tibetan-Sherpa origin, very popular nationwide.",Soup,Noodle Soup,Sherpa / Himalayan,Himalayan Region,Solukhumbu,Sherpa,Lunch/Dinner,Vegetarian/Non-Veg variants,"Noodles, meat/vegetables, broth, spices",Mild-Medium,Bowl,TRUE,FALSE,TRUE,TRUE,,"File:Thukpa, Tibetan noodle in Osaka, Japan.jpg | Wikimedia Commons — Category:Thukpa (dish photographed outside Nepal, same dish)",CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
55,Tingmo,तिङ्मो,Tibetan Steamed Bread,"Soft steamed bread rolls, typically eaten with stews, of Tibetan-Sherpa origin.",Bread,Steamed Bread,Sherpa / Himalayan,Himalayan Region,Solukhumbu,Sherpa,Lunch/Dinner,Vegan,"Flour, yeast, water",None,"Basket, with curry",TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
56,Shyakpa,शाक्पा,Sherpa Stew,"A hearty Sherpa stew of meat, potatoes, and vegetables.",Main Course,Stew,Sherpa,Himalayan Region,Solukhumbu,Sherpa,Lunch/Dinner,Non-Vegetarian,"Meat, potato, vegetables, spices",Mild,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
57,Riki Kur,रिकी कुर,Sherpa Potato Pancake,A pan-fried potato pancake/bread eaten in Sherpa/Himalayan households.,Snack,Pancake,Sherpa,Himalayan Region,Solukhumbu,Sherpa,Snack/Breakfast,Vegan,"Grated potato, flour",Mild,Plate,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Low,
58,Sha Phaley,शा फाले,Tibetan Meat Pastry,"Pan-fried bread stuffed with minced meat and cabbage, of Tibetan origin found in Himalayan Nepal.",Snack,Stuffed Bread,Tibetan / Himalayan,Himalayan Region,,Sherpa (common among),Snack,Non-Vegetarian,"Flour, minced meat, cabbage",Mild-Medium,Plate,TRUE,FALSE,TRUE,TRUE,,File:Tibetan snack Syabhaley in Nepal.jpg | Wikimedia Commons — Category:Sha phaley (Nepal-specific photo),CC BY-SA (see file page),FALSE,,Medium,Filename confirmed via Commons search; not live URL-verified.
59,Gyathuk,ग्याथुक,Hand-pulled Noodle Soup,A hearty hand-pulled wide noodle soup of Tibetan-Himalayan origin.,Soup,Noodle Soup,Sherpa / Himalayan,Himalayan Region,,Sherpa,Lunch/Dinner,Non-Vegetarian,"Hand-pulled noodles, meat, broth",Mild-Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
60,Tsampa,चाम्पा,Roasted Barley Flour,"Roasted barley flour, a Himalayan staple often mixed with butter tea.",Main Course,Grain Product,Sherpa / Himalayan,Himalayan Region,,Sherpa,Breakfast,Vegan,Roasted barley flour,None,"Bowl, mixed with tea/butter",TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
61,Butter Tea,पो चा,"Po Cha, Sherpa Butter Tea","Tea churned with yak butter and salt, a Himalayan staple beverage.",Beverage,Tea,Sherpa / Himalayan,Himalayan Region,,Sherpa,Any,Vegetarian,"Tea leaves, yak butter, salt",None,Cup,TRUE,FALSE,FALSE,TRUE,,File:Tibetan butter tea.jpg | Wikimedia Commons,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified.
62,Chhurpi,छुर्पी,Yak Cheese,"Hardened dried cheese made from yak or chauri milk, chewed as a snack or used in cooking.",Snack,Dairy,Sherpa / Himalayan,Himalayan Region,,Sherpa,Snack,Vegetarian,Yak/chauri milk,None,"Chunks, chewed",TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
63,Dresi,द्रेसी,Sherpa Sweet Rice,"A sweet rice dish with dried fruits, prepared for Sherpa festivals.",Dessert,Sweet Rice,Sherpa,Himalayan Region,,Sherpa,Festival,Vegetarian,"Rice, dried fruits, sugar, ghee",None,Bowl,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Low,
64,Tamang Selroti,तामाङ सेलरोटी,,A Tamang community variation of the traditional ring-shaped rice bread.,Snack,Sweet Bread,Tamang,Hill Region,,Tamang,Snack/Festival,Vegan,"Rice flour, sugar, oil",None,Plate,TRUE,TRUE,TRUE,FALSE,,,,FALSE,,Low,Naming/variation overlaps with general Sel Roti
65,Sinki Soup,सिन्की झोल,Fermented Radish Soup,"A sour soup made from sun-dried and fermented radish, common among Tamang and hill communities.",Soup,Fermented Vegetable Soup,Tamang / Hill-region,Hill Region,,Tamang (strongly associated),Lunch/Dinner,Vegan,"Fermented radish, spices",Mild-Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,File:Sinki ko jhol (Fermented radish soup).jpg | Wikimedia Commons,CC BY-SA 4.0,FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
66,Tama Bodi Aloo,तामा बोडी आलु,Bamboo Shoot Bean Potato Curry,"A curry combining fermented bamboo shoots, black-eyed beans, and potatoes, popular across hill communities.",Main Course,Vegetable Curry,Hill-region / Tamang,Hill Region,,Tamang / Gurung (common among),Lunch/Dinner,Vegan,"Bamboo shoots, black-eyed peas, potato, spices",Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
67,Kinema,किनेमा,Fermented Soybean,"A pungent fermented soybean product used as a base for curries, strongly associated with Kirat (Rai/Limbu) communities of eastern Nepal.",Main Course/Ingredient,Fermented Food,Kirat,Koshi / Eastern Hills,,Rai / Limbu,Lunch/Dinner,Vegan,"Fermented soybean, spices",Medium,"Bowl, curry form",TRUE,FALSE,FALSE,FALSE,,File:Original Kinema-nepal.jpg | Wikimedia Commons — Category:Kinema,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
68,Kinema Achar,किनेमा अचार,,"A pickle/side made from fermented soybean (kinema), spices, and mustard oil.",Pickle/Achar,Achar,Kirat,Koshi / Eastern Hills,,Rai / Limbu,Side,Vegan,"Kinema, mustard oil, chilli, spices",Medium-Hot,Small bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
